05-10-2023 	 11:00:42 	 1f70f238-8141-4a42-a0a0-7c6cb1c49d87 	 GET	undefined	/states/KS 
05-10-2023 	 11:00:47 	 36a7f1d9-0569-497d-8b11-96bc03cdb548 	 GET	undefined	/states/ks 
05-10-2023 	 11:01:29 	 8976966a-4dfb-4f85-8f37-1e1b77c5cb62 	 GET	undefined	/states/ks 
05-10-2023 	 11:01:47 	 574eb836-17e7-46cd-a7b1-f4bb67b46492 	 GET	undefined	/states/ks 
05-10-2023 	 11:02:08 	 f070ce0e-b9f7-4ee7-a173-7040ba284ac0 	 GET	undefined	/states/ks 
05-10-2023 	 11:02:09 	 75055945-966d-4fad-82de-9f2f539e1e5e 	 GET	undefined	/states/ks 
05-10-2023 	 11:02:53 	 e5e6a93e-b815-4929-b2ff-904b6a92bb3e 	 GET	undefined	/states/ks 
05-10-2023 	 11:05:22 	 e1806a7d-c812-4d77-b1b0-9e52f49c5aa9 	 GET	undefined	/states/ks 
05-10-2023 	 11:07:50 	 b7d1fbc5-bf43-404a-928c-1b7bb793249b 	 GET	undefined	/states/ks 
05-10-2023 	 11:08:10 	 89b4e39c-c6a1-4a07-a998-3ee784383d7a 	 GET	undefined	/states/ks 
05-11-2023 	 09:48:20 	 814f9076-e90e-414a-adbf-8fbb42443097 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 09:49:46 	 cbfbf2ea-dcc8-4712-a59a-3b0c13a49222 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 09:50:23 	 0a486574-c3b2-4cde-82c2-7f7446c868e2 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 09:55:40 	 1793f55e-648d-4e0b-9050-3620ce3b3ba0 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 09:58:04 	 c980fe44-8531-451a-bfb5-2f59acbde67d 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:06:05 	 7c11c089-72d1-46b7-92e6-bf17d78fc7c7 	 GET	undefined	/states/ 
05-11-2023 	 10:06:28 	 26f906ae-02a2-4db1-a6a2-ba9e171dbc81 	 GET	undefined	/states/ 
05-11-2023 	 10:07:50 	 d54143be-13f3-48cb-b107-cd9187f5febc 	 GET	undefined	/states/ 
05-11-2023 	 10:08:31 	 fe18db41-5ecf-4b9f-821b-79b3fb2d4fa1 	 GET	undefined	/states/ 
05-11-2023 	 10:08:50 	 27651ad7-3679-451a-ba38-c9f9471ccbc6 	 GET	undefined	/states/ 
05-11-2023 	 10:09:19 	 cf3d30fd-b043-44ba-a844-3f4a9f356c0e 	 GET	undefined	/states/ks 
05-11-2023 	 10:09:22 	 91683568-e6f6-48c2-898a-852afe902944 	 GET	undefined	/states/KS 
05-11-2023 	 10:10:51 	 c775a0c2-58a2-4e24-98df-8b04f785524d 	 GET	undefined	/states/ks 
05-11-2023 	 10:11:21 	 9ddad60f-e829-4180-8886-c145a4359f98 	 GET	undefined	/states/ks/funfacts 
05-11-2023 	 10:11:24 	 3f861b47-47f7-4047-94ab-130574834dd4 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:12:29 	 1dfc264b-7d78-4691-9e7c-712a8815f090 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:13:06 	 c7ed5b39-65de-42ea-a34b-fa65e6c3d86f 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:16:35 	 2784173f-073b-4edd-b10e-fb8ce08c58b6 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:21:50 	 7f951c6e-de47-4c46-9e3d-36f5110cb022 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:22:40 	 3a1f25bb-402e-458c-917b-d30f9bd67358 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:22:51 	 8a82a67a-d1dc-4f9d-b041-57c92a412a66 	 GET	undefined	/states/KS/funfact 
05-11-2023 	 10:25:28 	 0a3f365b-8b8e-46b8-a999-645691c24c07 	 GET	undefined	/states/KS/funfact 
05-11-2023 	 10:26:09 	 ccf1adff-c058-497b-8a23-52b967226e3b 	 GET	undefined	/states/KS/funfact 
05-11-2023 	 10:28:17 	 677416f5-bb8d-4949-94bd-12fb2fced45a 	 GET	undefined	/states/KS/funfact 
05-11-2023 	 10:28:41 	 52158140-803f-433b-9eab-362f588668f1 	 GET	undefined	/states/ks/funfact 
